Chicago Bulls,Portland Trail Blazers,Home
New Orleans Hornets,Phoenix Suns,Visiting
New Jersey Nets,Orlando Magic,Home
Indiana Pacers,New York Knicks,Visiting
Miami Heat,Detroit Pistons,Home
Utah Jazz,Denver Nuggets,Visiting
Milwaukee Bucks,Dallas Mavericks,Home
Los Angeles Clippers,Boston Celtics,Home
Los Angeles Lakers,Atlanta Hawks,Home
Washington Wizards,Philadelphia 76ers,Home
Los Angeles Lakers,New Jersey Nets,Visiting
Milwaukee Bucks,Memphis Grizzlies,Visiting
San Antonio Spurs,Indiana Pacers,Visiting
Boston Celtics,Cleveland Cavaliers,Home
New Orleans Hornets,Utah Jazz,Home
Chicago Bulls,Seattle SuperSonics,Visiting
Denver Nuggets,Portland Trail Blazers,Visiting
